,user,local,text,retweet_count,favorite_count,created_at
48,elonmusk,Trøllheim,@krassenstein Thanks! Will keep at it.,290,3389,2023-04-25 19:09:46+00:00
49,elonmusk,Trøllheim,@ispace_inc Stream on Twitter too!,435,4951,2023-04-25 15:43:42+00:00
50,elonmusk,Trøllheim,@zerohedge So bizarre that people and companies don’t use money management (Treasury Bill) checking accounts and earn 4%!,1013,12835,2023-04-25 15:11:41+00:00
51,elonmusk,Trøllheim,@stillgray Really? 🤔,1813,24432,2023-04-25 15:06:28+00:00
52,elonmusk,Trøllheim,@_CryMiaRiver @krassenstein @ZubyMusic I repeat my statement that any parents or doctors who do this should go to prison for life,2274,13994,2023-04-25 14:49:31+00:00
53,elonmusk,Trøllheim,@krassenstein @ZubyMusic Please correct if wrong @CommunityNotes,211,4140,2023-04-25 14:21:53+00:00
54,elonmusk,Trøllheim,"@krassenstein @ZubyMusic Comprehensive study in Sweden shows *increased* suicide!

Death for sex-reassigned persons was higher than for controls of same birth sex, particularly death from suicide. They also had increased risk for suicide attempts and psychiatric inpatient care. 

https://t.co/hIakkEJvJb",4335,16536,2023-04-25 14:20:29+00:00
55,elonmusk,Trøllheim,@zerohedge !,356,3824,2023-04-25 13:29:14+00:00
56,elonmusk,Trøllheim,@zerohedge Age limit for sterilization by the state or parents too? Or is that too much to hope for.,5116,45902,2023-04-25 13:26:42+00:00
57,elonmusk,Trøllheim,"@krassenstein @ZubyMusic What research?

Every child goes through an identity crisis, but leaping to a permanent solution that sterilizes them for life before they could possibly consent for themselves is wrong. Plain and simple.",3815,23965,2023-04-25 13:24:37+00:00
58,elonmusk,Trøllheim,"@TheRabbitHole84 We will do our best to support candidates from all parties, so that the public may make the most informed choice. 

Far too much back room dealing seems to be happening.",4056,33959,2023-04-25 13:13:41+00:00
59,elonmusk,Trøllheim,@RobertKennedyJr You and other candidates deserve that opportunity!,3305,50828,2023-04-25 13:10:45+00:00
60,elonmusk,Trøllheim,@TheBabylonBee 🤣,224,4265,2023-04-25 13:03:49+00:00
61,elonmusk,Trøllheim,@tegmark Exactly,232,3007,2023-04-25 12:59:33+00:00
62,elonmusk,Trøllheim,@cenkuygur Wow,977,19511,2023-04-25 12:55:17+00:00
63,elonmusk,Trøllheim,"@ZubyMusic I agree. This is super messed up.

Mature, consenting adults should do as they wish, so long as they do not harm anyone else, but this child was too young for any kind of consent.",2614,27768,2023-04-25 12:47:05+00:00
64,elonmusk,Trøllheim,@CathieDWood Are they simply looking at old data or ignoring the bad data that they have?,443,5725,2023-04-25 12:33:09+00:00
65,elonmusk,Trøllheim,@eldsjal @Spotify Congrats!,186,2685,2023-04-25 10:02:48+00:00
66,elonmusk,Trøllheim,@HSajwanization @SarwatNasir @HopeMarsMission Congrats UAE 🇦🇪!!,1271,9348,2023-04-25 06:21:41+00:00
67,elonmusk,Trøllheim,@alvinfoo Midjourney,255,5531,2023-04-25 06:04:52+00:00
68,elonmusk,Trøllheim,"@WallStreetSilv If you weaponize currency enough times, other countries will stop using it",5978,41987,2023-04-25 06:00:54+00:00
69,elonmusk,Trøllheim,@CNNPR Interesting,270,4725,2023-04-25 05:48:59+00:00
70,elonmusk,Trøllheim,@krassenstein Great points!,154,2118,2023-04-25 05:21:51+00:00
71,elonmusk,Trøllheim,Verified accounts are now prioritized,20063,303453,2023-04-25 05:20:46+00:00
72,elonmusk,Trøllheim,@johnhackerla That meme rings a bell,482,7805,2023-04-25 05:15:16+00:00
73,elonmusk,Trøllheim,"Sometimes, when you learn about something, you think you have it",11055,111762,2023-04-25 05:13:22+00:00
74,elonmusk,Trøllheim,@farzyness It’s been a while since had to intervene. 11.4 is good.,315,4538,2023-04-25 05:06:20+00:00
75,elonmusk,Trøllheim,@SmashMemez @alx 🎯,165,3010,2023-04-25 04:48:26+00:00
76,elonmusk,Trøllheim,"@Not_the_Bee I agree with assisted suicide if someone is a mature adult, but definitely not kids. 

There is a reason we have an age of consent.",2208,37685,2023-04-25 04:23:49+00:00
77,elonmusk,Trøllheim,@shaunmmaguire Ask GPT-whatever,231,4395,2023-04-25 03:34:05+00:00
78,elonmusk,Trøllheim,@farzyness Our meat computers are so slow 😔,302,4661,2023-04-25 03:32:19+00:00
79,elonmusk,Trøllheim,The collective mind that is this platform needs more signal &amp; less noise,9826,107594,2023-04-25 03:30:39+00:00
80,elonmusk,Trøllheim,@farzyness Collective consciousness,883,10726,2023-04-25 03:29:10+00:00
81,elonmusk,Trøllheim,@NoemiKhachian @TuckerCarlson @donlemon Odd Couple (2023 remake),150,3086,2023-04-25 03:28:28+00:00
82,elonmusk,Trøllheim,@EdKrassen Are you ever critical of someone on the left?,10431,198195,2023-04-25 02:12:20+00:00
83,elonmusk,Trøllheim,"@MuskUniversity Can’t shrink humans, so need big rocket",667,9561,2023-04-25 01:41:22+00:00
84,elonmusk,Trøllheim,https://t.co/RRFH30OOvt,35173,375497,2023-04-25 01:36:55+00:00
85,elonmusk,Trøllheim,@RampCapitalLLC 💯,122,2299,2023-04-25 01:31:42+00:00
86,elonmusk,Trøllheim,@cameron Exactly,371,7788,2023-04-25 01:24:40+00:00
87,elonmusk,Trøllheim,@GRDecter We’re running out of “everything is fine!” memes,1464,15258,2023-04-25 01:16:10+00:00
88,elonmusk,Trøllheim,@WallStreetSilv @alifarhat79 Literally,404,7231,2023-04-25 00:40:27+00:00
89,elonmusk,Trøllheim,@JonErlichman WALL-E has decent runway,252,7141,2023-04-25 00:34:27+00:00
90,elonmusk,Trøllheim,"@waitbutwhy Mind-blowing concept when you first hear it. 

There is arguably a practical maximum to digits of pi, which is the number required to divide the universe into cubes of Planck length.",536,6386,2023-04-25 00:30:09+00:00
91,elonmusk,Trøllheim,"Censor not, lest ye be censored",18286,179204,2023-04-25 00:23:59+00:00
92,elonmusk,Trøllheim,"@KanekoaTheGreat @DavidSacks Exactly right. If we lose freedom of speech, it’s never coming back.

Beware of censorship lest ye censored.",9147,52728,2023-04-25 00:22:51+00:00
93,elonmusk,Trøllheim,"@unusual_whales Nice. Just me here @elonmusk too. If something dumb is said, it’s definitely me.",508,10948,2023-04-25 00:20:05+00:00
94,elonmusk,Trøllheim,"@ErcXspace @SpaceX Gravity, gravity, 
time to escape 
that for me",402,6300,2023-04-24 23:08:25+00:00
95,elonmusk,Trøllheim,Or maybe just X https://t.co/5nCtYbrPfN,6837,69621,2023-04-24 23:07:23+00:00
96,elonmusk,Trøllheim,@SawyerMerritt @SpaceX @Tesla Yay!,235,5387,2023-04-24 23:04:01+00:00
97,elonmusk,Trøllheim,@all_in_tok @DavidSacks @theallinpod Wow,120,1897,2023-04-24 23:02:46+00:00
98,elonmusk,Trøllheim,@waitbutwhy Thanks!,108,2492,2023-04-24 23:01:28+00:00
99,elonmusk,Trøllheim,@Erdayastronaut I just subscribed,185,6576,2023-04-24 22:57:11+00:00
100,elonmusk,Trøllheim,@nichegamer @Marsupial_Gamer I subscribed!,70,1120,2023-04-24 22:39:14+00:00
101,elonmusk,Trøllheim,@andst7 😅,131,2781,2023-04-24 22:30:57+00:00
102,elonmusk,Trøllheim,@investmattallen @GRDecter More,381,8399,2023-04-24 22:00:21+00:00
103,elonmusk,Trøllheim,"@krassenstein To paraphrase a famous statement about democracy:

Free press is the worst form of press – except for all the others that have been tried.",483,5795,2023-04-24 21:59:28+00:00
104,elonmusk,Trøllheim,@cscarroll @GRDecter @TuckerCarlson @MrBeast Jimmy (@mrbeast) has already enabled subscriptions on this platform,70,1474,2023-04-24 21:38:24+00:00
105,elonmusk,Trøllheim,"@GRDecter Or we don’t hire anyone, but simply enable content creators to prosper on this platform without applying censorship that goes beyond the law",13707,216998,2023-04-24 21:37:02+00:00
106,elonmusk,Trøllheim,"We’re rapidly improving transparency &amp; fairness on this platform, but there is still a lot of work to do https://t.co/lzorcmXAnd",6867,61210,2023-04-24 21:34:45+00:00
107,elonmusk,Trøllheim,Hard to believe Starship actually did launch on 4/20 lol,9302,161070,2023-04-24 21:31:00+00:00
108,elonmusk,Trøllheim,@cb_doge You’d never guess it’s me!,659,20935,2023-04-24 21:17:56+00:00
109,elonmusk,Trøllheim,@EvaFoxU @smithynimmy It will be soon,89,1458,2023-04-24 21:15:57+00:00
110,elonmusk,Trøllheim,@WallStreetSilv I kinda love Cramer,255,5048,2023-04-24 21:10:19+00:00
111,elonmusk,Trøllheim,"Content creators may wish to enable subscriptions on this platform. 

Just tap on Monetization in settings. https://t.co/CmD06Mczmn",7164,82225,2023-04-24 21:09:39+00:00
112,elonmusk,Trøllheim,"@PeterDiamandis If heat death is the fate of the Universe, it really is all about the journey",268,3698,2023-04-24 21:08:04+00:00
113,elonmusk,Trøllheim,We live in the most interesting of times,31212,299975,2023-04-24 21:07:13+00:00
114,elonmusk,Trøllheim,@PeterDiamandis I love your relentless optimism in an otherwise pessimistic world!,537,6695,2023-04-24 20:06:02+00:00
115,elonmusk,Trøllheim,@TheBabylonBee 🔥🤣,3989,63145,2023-04-24 16:14:42+00:00
116,elonmusk,Trøllheim,@KanekoaTheGreat @DavidSacks Exactly,727,7923,2023-04-24 15:52:03+00:00
117,elonmusk,Trøllheim,@paulg Interesting,966,20892,2023-04-24 15:50:33+00:00
118,elonmusk,Trøllheim,@DavidSacks Pretty much,469,7057,2023-04-24 14:51:56+00:00
119,elonmusk,Trøllheim,@DavidSacks Thoughtful article by @Politico,450,4793,2023-04-24 14:40:23+00:00
120,elonmusk,Trøllheim,@slashdot 😂,296,4953,2023-04-24 00:25:45+00:00
121,elonmusk,Trøllheim,@waitbutwhy It will be a Brave New World,2702,32192,2023-04-23 23:51:29+00:00
122,elonmusk,Trøllheim,"@teslaownersSV This really opens your eyes. If they’re this wrong about Tesla, what subjects are they actually right about?",2383,23270,2023-04-23 18:03:57+00:00
123,elonmusk,Trøllheim,@TrungTPhan This resonates,165,3194,2023-04-23 16:58:19+00:00
124,elonmusk,Trøllheim,@BillyM2k @StockMKTNewz It has gone full beyond,417,6433,2023-04-23 16:52:50+00:00
125,elonmusk,Trøllheim,@kerrikgray Intense week,561,13411,2023-04-23 16:50:19+00:00
126,elonmusk,Trøllheim,@MarioNawfal Twitter is a serious danger to their ability to control the narrative,10016,67042,2023-04-23 16:45:35+00:00
127,elonmusk,Trøllheim,@MarioNawfal Yup,1309,35822,2023-04-23 16:44:50+00:00
128,elonmusk,Trøllheim,"@oldbooksguy Orwell was right -&gt; schools &amp; media
Huxley -&gt; public *is* heavily medicated 
Rand was also right, as you say.

We now have the perfect storm. 

Did you know that Soma is a real drug? Takes away pain, but dulls your mind.",7813,47979,2023-04-23 15:59:38+00:00
129,elonmusk,Trøllheim,@parafactual 😂,195,4209,2023-04-23 15:54:06+00:00
130,elonmusk,Trøllheim,@BillyM2k I’ll take him!,1231,38455,2023-04-23 15:50:00+00:00
131,elonmusk,Trøllheim,"@DogecoinNorway Or, at least, that’s what Snorri said 
https://t.co/P1N6FNqyNg",220,2545,2023-04-23 13:44:45+00:00
132,elonmusk,Trøllheim,@farzyness 💯,277,4961,2023-04-23 13:29:10+00:00
133,elonmusk,Trøllheim,@isro @NSIL_India @PIB_India Congratulations!,2035,30293,2023-04-23 12:58:43+00:00
134,elonmusk,Trøllheim,@TonyadeVitti @dvorahfr @kerrikgray @SweetSirenDream @foxxpup @aliciatoralll @billybumbler2 @OhCaraMia2 @helloitstanya98 @InaLendt Everything,1380,21129,2023-04-23 12:45:34+00:00
135,elonmusk,Trøllheim,@alvinfoo True,262,4381,2023-04-23 09:21:37+00:00
136,elonmusk,Trøllheim,@cb_doge ❗️,208,3454,2023-04-23 08:47:32+00:00
137,elonmusk,Trøllheim,@BasedBeffJezos True,157,2618,2023-04-23 08:37:25+00:00
138,elonmusk,Trøllheim,@MarioNawfal Good advice,383,6548,2023-04-23 08:25:24+00:00
139,elonmusk,Trøllheim,@ACTBrigitte Certainly trial,4073,55434,2023-04-23 05:50:03+00:00
140,elonmusk,Trøllheim,@JenniferCandoli Me,2116,92426,2023-04-23 05:45:19+00:00
141,elonmusk,Trøllheim,@EvasTeslaSPlaid I wonder if you can rent them on @airbnb,473,13840,2023-04-23 05:43:21+00:00
142,elonmusk,Trøllheim,@DanielleFong 🤣🤣,130,2157,2023-04-23 05:41:35+00:00
143,elonmusk,Trøllheim,@moskov @DanielleFong Thanks Dustin,166,3539,2023-04-23 05:40:39+00:00
144,elonmusk,Trøllheim,@DanielleFong This is crazy. Data source?,174,2427,2023-04-23 05:39:29+00:00
145,elonmusk,Trøllheim,@gummibear737 Wow,187,3568,2023-04-23 05:36:21+00:00
146,elonmusk,Trøllheim,@GailAlfarATX @SpaceX @cnunezimages I subscribed!,190,3916,2023-04-23 05:35:05+00:00
147,elonmusk,Trøllheim,@GailAlfarATX @SpaceX @cnunezimages Great citizen journalism!,280,6047,2023-04-23 05:34:06+00:00
148,elonmusk,Trøllheim,"@StephenKing I’ve donated $100M to Ukraine, how much have you donated?

(We turned down the DoD money btw) https://t.co/wpLa6dTnP6",15868,221951,2023-04-23 05:29:29+00:00
149,elonmusk,Trøllheim,@unhealthytruth Good points,882,11096,2023-04-23 04:58:35+00:00
150,elonmusk,Trøllheim,@AiBreakfast 💯,215,3084,2023-04-23 03:58:15+00:00
151,elonmusk,Trøllheim,https://t.co/PubSW9oJ5E,19591,312693,2023-04-23 03:30:43+00:00
152,elonmusk,Trøllheim,@TheRabbitHole84 True,468,8068,2023-04-23 02:38:48+00:00
153,elonmusk,Trøllheim,"@farzyness There have been several extended periods of flatness, followed by rapid rises to new plateaus",573,7982,2023-04-23 02:38:09+00:00
154,elonmusk,Trøllheim,@jnsfrd Amazing,144,2360,2023-04-23 02:32:48+00:00
155,elonmusk,Trøllheim,@krassenstein !,133,1833,2023-04-23 02:22:59+00:00
156,elonmusk,Trøllheim,@WallStreetSilv Incentives matter,769,11463,2023-04-23 02:08:31+00:00
157,elonmusk,Trøllheim,@Scobleizer Allergies,213,5047,2023-04-23 02:01:44+00:00
158,elonmusk,Trøllheim,@Healthyfairy86 @unusual_whales Certainly should be same for all,327,16069,2023-04-23 00:57:10+00:00
159,elonmusk,Trøllheim,@paulkrugman https://t.co/31P6jAVP2C,9114,203345,2023-04-23 00:55:27+00:00
160,elonmusk,Trøllheim,@RandleDog @catturd2 @CommunityNotes 🤣,92,2127,2023-04-23 00:54:11+00:00
161,elonmusk,Trøllheim,@Rainmaker1973 Mud camouflage lol https://t.co/rNRnrR1xCg,143,2093,2023-04-23 00:53:17+00:00
162,elonmusk,Trøllheim,@unusual_whales Is all this just about raising the pension age from 62 to 64 or is there more to it?,6348,99464,2023-04-22 23:41:41+00:00
163,elonmusk,Trøllheim,@Fathers_Writes Malaria did it for me,1172,46148,2023-04-22 23:35:42+00:00
164,elonmusk,Trøllheim,The least bad solution to the AGI control problem that I can think of is to give every verified human a vote,7787,95181,2023-04-22 23:35:01+00:00
165,elonmusk,Trøllheim,"@TitterDaily A troll, me?? 🤣",1014,16982,2023-04-22 22:19:33+00:00
166,elonmusk,Trøllheim,@UpdatingOnRome 🪦,113,2271,2023-04-22 22:16:35+00:00
167,elonmusk,Trøllheim,https://t.co/8iNKfSwC4y,58639,649561,2023-04-22 21:48:37+00:00
168,elonmusk,Trøllheim,@unusual_whales Not exactly neutral,959,14513,2023-04-22 21:34:25+00:00
169,elonmusk,Trøllheim,@charliesheen You’re welcome!,1279,45621,2023-04-22 21:13:17+00:00
170,elonmusk,Trøllheim,What makes @CommunityNotes so powerful is that people with different points of view have to agree that a note is correct for it to be shown,8900,107500,2023-04-22 21:12:41+00:00
171,elonmusk,Trøllheim,@TrungTPhan So many Zoolander memes 😂,100,2033,2023-04-22 21:04:14+00:00
172,elonmusk,Trøllheim,@TrungTPhan https://t.co/sYvCLNrarU,405,8151,2023-04-22 21:03:24+00:00
173,elonmusk,Trøllheim,@TimSweeneyEpic 🔥🔥,203,3849,2023-04-22 20:03:38+00:00
174,elonmusk,Trøllheim,check mate,24861,330641,2023-04-22 19:18:47+00:00
175,elonmusk,Trøllheim,@EdKrassen Do you write in defense of the truth?,750,9290,2023-04-22 19:09:19+00:00
176,elonmusk,Trøllheim,"@EzerRatchaga Starship is super insane, but such a system is the only way for us to become a multiplanet civilization",2703,30990,2023-04-22 18:58:07+00:00
177,elonmusk,Trøllheim,@RBReich I will pay for your blue check – my gift to you 💕,218,3924,2023-04-22 18:55:31+00:00
178,elonmusk,Trøllheim,@cb_doge @nytimes 🤣🤣,394,8666,2023-04-22 18:32:18+00:00
179,elonmusk,Trøllheim,@TimSweeneyEpic 🎯,124,2125,2023-04-22 18:30:59+00:00
180,elonmusk,Trøllheim,@rpoo Well said,165,2850,2023-04-22 18:30:07+00:00
181,elonmusk,Trøllheim,@RBReich Have you considered a career in comedy?,422,6399,2023-04-22 18:26:33+00:00
